x,spin up,spin down
-7.907907907907909,4.4282302431077597e-07,5.163052451264413e-162
-7.867867867867869,2.1487242022191475e-06,1.1253006353191902e-158
-7.827827827827829,9.623191342604919e-06,2.263692547314168e-155
-7.787787787787789,3.9778300412621555e-05,4.202939785022059e-152
-7.7477477477477485,0.00015176202247884312,7.202375251968718e-149
-7.7077077077077085,0.0005344063262227695,1.1391611667076298e-145
-7.6676676676676685,0.0017368992767555279,1.662958642536866e-142
-7.6276276276276285,0.005210471575438272,2.2406012571530462e-139
-7.5875875875875884,0.014427349614899502,2.7863428385397714e-136
-7.547547547547548,0.036873623607401165,3.198095135095023e-133
-7.507507507507508,0.08699319097359291,3.3879348901700435e-130
-7.467467467467468,0.18946457701835195,3.3125739482252693e-127
-7.427427427427428,0.38097616307665133,2.9893926239450152e-124
-7.387387387387388,0.707426852543495,2.4899302712005207e-121
-7.347347347347348,1.2134443080152597,1.9141601104742008e-118
-7.307307307307308,1.9237104648542045,1.3581764260173658e-115
-7.267267267267268,2.8210212627422244,8.89448822547586e-113
-7.227227227227228,3.831814673123373,5.376165021373321e-110
-7.187187187187188,4.831279951639024,2.99923894857003e-107
-7.147147147147146,5.673256928093073,1.544316791409277e-104
-7.107107107107106,6.236484920763962,7.339197415265968e-102
-7.067067067067066,6.466541585116789,3.2191973094568555e-99
-7.027027027027026,6.39184366214156,1.3032672209211977e-96
-6.986986986986986,6.1053639451205415,4.869744753867609e-94
-6.946946946946946,5.723177315527998,1.679444956594662e-91
-6.906906906906906,5.342774861086266,5.34579377062743e-89
-6.866866866866866,5.020103689613038,1.5705272515686331e-86
-6.826826826826826,4.76902169688607,4.25858777073801e-84
-6.786786786786786,4.573272457381633,1.0657923006945183e-81
-6.746746746746746,4.398917369961795,2.461877303331245e-79
-6.706706706706706,4.202923441501207,5.248643558864811e-77
-6.666666666666666,3.9415456990837785,1.0327961401797466e-74
-6.626626626626626,3.582409890719041,1.8757242017880078e-72
-6.586586586586586,3.1178694213777414,3.144200321371389e-70
-6.546546546546546,2.571923353200657,4.864500848457271e-68
-6.506506506506506,1.994686762447846,6.946294774213951e-66
-6.466466466466466,1.4458589101443131,9.154929090350539e-64
-6.426426426426426,0.9754209259660624,1.1136368941547899e-61
-6.386386386386386,0.6107060623843843,1.2503139767863103e-59
-6.346346346346346,0.35418350779749286,1.2956312414619002e-57
-6.306306306306306,0.19007400948825945,1.239169133719571e-55
-6.266266266266266,0.09444975458907544,1.0938722691248115e-53
-6.226226226226226,0.04389326570582928,8.912293661443967e-52
-6.186186186186186,0.020457206155381227,6.701919602521013e-50
-6.146146146146146,0.013278638476311043,4.6515296028406675e-48
-6.106106106106106,0.018474462533280337,2.9797457897243298e-46
-6.066066066066066,0.03885068784627264,1.7617711363012154e-44
-6.026026026026026,0.08405564868978398,9.614055311726745e-43
-5.985985985985986,0.17063743196810963,4.842287738479686e-41
-5.945945945945946,0.3204629221858585,2.2510307052744444e-39
-5.905905905905906,0.5556598537602107,9.658264531259836e-38
-5.865865865865866,0.8892968479832695,3.824755027321472e-36
-5.8258258258258255,1.313633171306581,1.397960831545255e-34
-5.7857857857857855,1.7909720590162532,4.715993898137519e-33
-5.7457457457457455,2.2536726980506616,1.4683795189873923e-31
-5.7057057057057055,2.6174672724136077,4.2197843397309656e-30
-5.665665665665665,2.805847070970615,1.1192550163947164e-28
-5.625625625625625,2.7762155233775094,2.7400261099622728e-27
-5.585585585585585,2.535708985884374,6.191091391667093e-26
-5.545545545545545,2.1388674230344717,1.2911199631545513e-24
-5.505505505505505,1.6686059295740654,2.4851514038050132e-23
-5.465465465465465,1.2103293241524224,4.414952093631057e-22
-5.425425425425425,0.8312809372187319,7.239124423222042e-21
-5.385385385385385,0.5724978059004368,1.0955520439505177e-19
-5.345345345345345,0.4527728561273052,1.530266061561026e-18
-5.305305305305305,0.4778466803617153,1.972821943929977e-17
-5.265265265265265,0.6466843041219954,2.347447648496267e-16
-5.225225225225225,0.9500474680687089,2.578048761654869e-15
-5.185185185185185,1.3624204727133027,2.613206174747913e-14
-5.145145145145145,1.8336598820122862,2.444802484667014e-13
-5.105105105105105,2.2886384711053007,2.1110657035670667e-12
-5.065065065065065,2.6399857600791115,1.682472784310503e-11
-5.025025025025025,2.8117369827332004,1.237608636092562e-10
-4.984984984984985,2.764266085492642,8.402500678807973e-10
-4.944944944944945,2.5083287834294508,5.265324067268597e-09
-4.904904904904905,2.1007745548854135,3.0453343613936165e-08
-4.864864864864865,1.623911164672241,1.6257025387717678e-07
-4.824824824824825,1.1585964968014135,8.010278259043453e-07
-4.784784784784785,0.7629377088929651,3.6430120438645e-06
-4.744744744744745,0.4636954367080958,1.5292865746511554e-05
-4.704704704704705,0.26011381514361326,5.9257743424000696e-05
-4.664664664664665,0.13467310327808546,0.00021195695550651873
-4.624624624624625,0.06435542560705966,0.0006998792477889462
-4.584584584584585,0.028384177630248298,0.0021335842575946635
-4.544544544544545,0.01155458402713582,0.006005692507980364
-4.504504504504505,0.0043412936636394875,0.015612154613680524
